<unk>
<s>
</s>
.
'
the
,
I
a
newlinechar
to
/
it
and
?
of
you
that
s
is
t
in
-
0
!
for
:
1
on
)
be
was
2
have
this
(
but
with
*
not
like
are
just
they
he
3
my
...
m
can
It
as
5
so
4
at
me
^
if
your
one
or
about
would
don
all
]
[
do
get
The
think
what
out
up
http
an
You
from
re
6
we
9
there
8
more
That
know
people
really
them
7
his
when
will
has
him
good
some
how
no
time
ve
